Disease ID	Disease Description
H01266	Hypercarotenemia and vitamin A deficiency
H01267	Familial hyperinsulinemic hypoglycemia
H01268	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome; HHH syndrome
H01269	Congenital hyperthyroidism
H01270	Familial hypobetalipoproteinemia
H01271	Hypoparathyroidism with sensorineural deafness and renal dysplasia; HDR syndrome; Barakat syndrome
H01272	Hypoplastic left heart syndrome
H01273	Autosomal dominant keratitis; Hereditary keratitis
H01274	Growth delay due to insulin-like growth factor I resistance; IGF-I resistance
H01275	Interleukin 1 receptor antagonist deficiency (DIRA); Multifocal osteomyelitis with periostitis and pustulosis (OMPP)
H01276	Chronic idiopathic intestinal pseudo-obstruction; CIIP
H01277	Vitamin B12 deficiency anaemia
H01278	Iron-refractory iron deficiency anemia
H01279	Isobutyryl-CoA dehydrogenase deficiency
H01280	L-2-hydroxyglutaric aciduria
H01281	Lathosterolosis
H01282	Spermatogenic failure
H01283	Malonyl-CoA decarboxylase deficiency
H01284	Marinesco-Sjogren syndrome
H01285	Methylcobalamin deficiency type G
H01286	Microtia hearing impairment and cleft palate
H01287	Congenital mirror movements
H01288	Mosaic variegated aneuploidy syndrome
H01289	Mulibrey nanism
H01290	Acute recurrent myoglobinuria
H01291	Spheroid body myopathy
H01292	Nance-Horan syndrome
H01293	Narcolepsy
H01294	Nephrogenic syndrome of inappropriate antidiuresis
H01295	Neurodegeneration due to cerebral folate transport deficiency
H01296	Hereditary neuropathy with liability to pressure palsies
H01297	Neutral lipid storage disease with myopathy
H01298	Pulmonary alveolar microlithiasis
H01299	Idiopathic pulmonary fibrosis
H01301	Hemorrhagic destruction of the brain, subependymal calcification, and cataracts
H01302	Hyperchlorhidrosis isolated (HCHLH)
H01303	Hypercatabolic hypoproteinemia
H01304	Hyperglycinuria
H01305	Global cerebral hypomyelination; Early infantile epileptic encephalopathy 39
H01306	FRA12A mental retardation
H01307	Nonsyndromic congenital nail disorder
H01308	Macrocephaly macrosomia facial dysmorphism syndrome
H01309	Sarcoidosis, early-onset
H01310	Multi-minicore disease; Multicore myopathy with external ophthalmoplegia; Rigid spine syndrome (RSS)
H01311	Enteroinvasive Escherichia coli (EIEC) infection
H01312	Enteroaggregative Escherichia coli (EAEC) infection
H01313	Escherichia coli meningitis; Neonatal meningitis-associated Escherichia coli (NMEC) infection
H01314	Rat-bite fever; Haverhill fever
H01315	Erysipeloid; Swine erysipelas
H01316	Dermatophytosis; Ringworm
H01317	Aggressive periodontitis
H01318	Yaws
H01319	Coccidioidomycosis; Valley fever
H01320	Epidemic keratoconjunctivitis
H01321	Pneumococcal disease
H01322	Kyasanur Forest disease
H01323	Enteritis due to Norovirus
H01324	Lymphocytic choriomeningitis
H01325	Actinomycosis
H01326	Hand, foot and mouth disease
H01327	Herpangina
H01328	Aspergillosis
H01329	Paracoccidioidomycosis
H01330	Brazilian purpuric fever
H01331	Dental caries; Dental decay
H01332	Helicobacter heilmannii infection
H01333	Non-alcoholic fatty liver disease
H01334	Tinea versicolor; Pityriasis versicolor
H01335	Photorhabdus asymbiotica infection
H01336	Encephalitozoon infection
H01337	Laribacter hongkongensis infection
H01338	Myosclerosis
H01339	Asymptomatic bacteriuria
H01340	Bethlem myopathy
H01341	Collagen VI myopathy
H01342	Zellweger syndrome
H01343	Pantoea ananatis infection
H01344	Nijmegen breakage syndrome
H01345	Providencia stuartii infection
H01346	Bloom syndrome; MGRISCE1
H01347	MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes
H01348	Mitochondrial phosphate carrier deficiency
H01349	Methacrylic aciduria; 3-Hydroxy-isobutyryl-CoA hydrolase deficiency
H01350	Morganella morganii infection
H01351	Spastic ataxia
H01352	Mitochondrial trifunctional protein deficiency
H01353	Chromobacterium violaceum infection
H01354	Leigh syndrome
H01355	Kearns-Sayre syndrome
H01356	Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome
H01357	Allergic contact dermatitis
H01358	Atopic dermatitis
H01359	Anaphylaxis
H01360	Allergic rhinitis
H01361	Eosinophilic esophagitis
H01362	Dermatitis herpetiformis
H01363	NARP syndrome; Neuropathy ataxia and retinis pigmentosa
H01364	3-Hydroxyacyl-CoA dehydrogenase deficiency; HADH deficiency; SCHAD deficiency
H01365	Leber hereditary optic neuropathy and dystonia
H01366	Bacterial conjunctivitis
H01367	Infantile liver failure
H01368	Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D)
H01369	ATP synthase deficiency
H01370	SHORT syndrome
H01371	Hypercalcemia infantile; Idiopathic infantile hypercalcemia
H01372	Vitiligo
H01373	Achromobacter xylosoxidans infection
H01374	Helicobacter cinaedi infection
H01375	Glucose 6-phosphate dehydrogenase deficiency
H01376	Acrofacial dysostosis
H01377	Mitchell-Riley syndrome
H01378	Bosch-Boonstra optic atrophy syndrome
H01379	Arcobacter butzleri infection
H01380	Bacterial vaginosis
H01381	Antithrombin III deficiency; Inherited Antithrombin deficiency
H01382	Polyarteritis nodosa; Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome; ADA2 deficiency
H01383	Hyperlipoproteinemia type IIa; LDL receptor disorder
H01384	Mitochondrial recessive ataxia syndrome
H01385	Rienhoff syndrome
H01386	Asparagine synthetase deficiency
H01387	Activated PI3K-delta syndrome
H01388	Hyperprolactinemia
H01389	Alpers syndrome; Alpers-Huttenlocher syndrome; Diffuse cerebral sclerosis of Schilder; Hepatocerebral degeneration of childhood; Mitochondrial DNA depletion syndrome 4A
H01390	Mitochondrial neurogastrointestinal encephalomyopathy; MNGIE Syndrome
H01391	Familial episodic pain syndrome
H01392	Arthrogryposis, mental retardation, and seizures
H01393	Van Maldergem syndrome; Cerebro-facio-articular syndrome
H01394	Cole disease
H01395	Autosomal recessive progressive external ophthalmoplegia
H01396	Moyamoya disease
H01397	Tick-borne lymphadenopathy; Tick-borne lymphadenitis
H01398	Primary hyperammonemia (Urea cycle disorders)
H01399	Bacillus thuringiensis infection
H01400	Secondary hyperammonemia
H01401	Methicillin-resistant Staphylococcus epidermidis (MRSE) infection
H01402	Nicolaides-Baraitser syndrome
H01403	Coffin-Siris syndrome
H01404	Punctate palmoplantar keratoderma
H01405	Lactococcus garvieae infection
H01406	Streptococcus suis infection
H01407	Capnocytophaga ochracea infection
H01408	Periodontal disease
H01409	Methicillin-sensitive Staphylococcus aureus (MSSA) infection
H01410	Anaerobic infection
H01411	Saccharomonospora viridis infection
H01412	Perlman syndrome
H01413	Adams-Oliver syndrome
H01414	Hafnia alvei infection
H01415	Donovanosis; Granuloma inguinale
H01416	Severe fever with thrombocytopenia syndrome
H01417	Acute encephalitis
H01418	Condyloma acuminatum; Condylomata acuminata; Genital warts
H01419	Middle East respiratory syndrome
H01420	Pharyngoconjunctival fever
H01421	Acute hemorrhagic conjunctivitis
H01422	Carbapenem-resistant bacterial infection
H01423	Penicillin-resistant Streptococcus pneumoniae infection
H01424	Group A streptococcal pharyngitis; Group A streptococcal tonsillitis; Group A streptococcal pharyngotonsillitis
H01425	Lysosomal storage disease
H01426	Invasive streptococcal disease
H01427	Mitochondrial disease
H01428	Xeroderma pigmentosum
H01429	Aseptic meningitis
H01430	Viral gastroenteritis
H01431	Cushing syndrome
H01432	Choreoacanthocytosis; Chorea-acanthocytosis
H01433	Budd-Chiari syndrome
H01434	Atypical hemolytic uremic syndrome
H01435	Congenital asplenia
H01436	Guillain-Barre syndrome
H01437	Neurofibromatosis type 1; Von Recklinghausen disease
H01438	Neurofibromatosis type 2
H01439	Williams-Beuren syndrome
H01440	Acute necrotizing ulcerative gingivitis; Vincent gingivitis; Vincent angina; Trench mouth
H01441	Pseudomonas aeruginosa infection
H01442	Septic arthritis; Pyogenic arthritis
H01443	Viridans group streptococcal infection
H01444	Enterococcal infection
H01445	Acne vulgaris
H01446	Propionibacterium acnes infection
H01447	Body dysmorphic disorder
H01448	Hoarding disorder
H01449	Excoriation disorder; Skin picking disorder
H01450	Obsessive-compulsive disorder
H01451	Actinomycetoma
H01452	Pediatric autoimmune neuropsychiatric disorders associated with streptococcal infection
H01453	Obsessive-Compulsive and Related Disorder
H01454	Colonic spirochetosis
H01455	Necrotizing fasciitis
H01456	Diabetic nephropathy
H01457	Diabetic retinopathy
H01458	Nontuberculous mycobacterial infection
H01459	Diabetic neuropathy
H01460	West syndrome; Infantile spasms
H01461	Crow-Fukase syndrome; POEMS syndrome
H01462	Rapidly growing mycobacteria infection
H01463	Mycosis fungoides
H01464	Mantle cell lymphoma
H01465	Large-vessel vasculitis
H01466	Ulcerative colitis
H01467	Primary biliary cholangitis; Primary biliary cirrhosis
H01468	Eosinophilic granulomatosis with polyangiitis; Churg-Strauss syndrome
H01469	Short bowel syndrome
H01470	Giant cell tumor of bone
H01471	Lymphangioma
H01472	Multidrug-resistant tuberculosis
H01473	Erythema nodosum leprosum
H01474	Acquired generalized lipodystrophy; Lawrence syndrome
H01475	Lipodystrophy; Lipoatrophy
H01476	Behcet disease; Behcet syndrome
H01477	Congenital short bowel syndrome
H01478	Machado-Joseph disease; Spinocerebellar ataxia 3
H01479	Castleman disease
H01480	Idiopathic macular hole; Retinal perforations
H01481	Myelodysplastic syndrome
H01482	Infantile hemangioma
H01483	Acromegaly
H01484	5q- syndrome
H01485	Autosomal recessive mental retardation-42
H01486	Multiple congenital anomalies-hypotonia-seizures syndrome
H01487	CHIME syndrome; Coloboma, congenital heart disease, ichthyosiform dermatosis, mental retardation, and ear anomalies syndrome; Zunich neuroectodermal syndrome
H01488	Hyperphosphatasia with mental retardation syndrome; Mabry syndrome
H01489	Inherited glycosylphosphatidylinositol deficiencies; Glycosylphosphatidylinositol biosynthesis deficiency
H01490	Multiple sclerosis
H01491	Neuromyelitis optica; Devic disease
H01492	Systemic sclerosis; Systemic scleroderma
H01493	Localized Scleroderma; Morphea
H01494	SEMD with joint laxity type
H01495	Meniere disease
H01496	Spondyloocular syndrome
H01497	Temtamy preaxial brachydactyly syndrome
H01498	Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects; Larsen-like syndrome
H01499	Sporotrichosis
H01500	Lupus nephritis
H01501	Blastomycosis
H01502	Sjogren syndrome
H01503	Zygomycosis
H01504	Vogt-Koyanagi-Harada syndrome; Vogt-Koyanagi-Harada disease; Uveomeningoencephalitic syndrome
H01505	Inclusion body myositis
H01506	Hepatic encephalopathy; Hepatic coma
H01507	Seronegative arthritis
H01508	Salivary gland cancer
H01509	Tonsillar cancer
H01510	Malignant paraganglioma; Pheochromocytoma
H01511	Mast-cell leukemia
H01512	Langerhans cell histiocytosis
H01513	Retinoblastoma
H01514	Landau-Kleffner syndrome
H01515	Scarlet fever; Scarlatina
H01516	Adult onset Still disease; Adult Still disease
H01517	Erysipelas
H01518	Lobomycosis; Lobo disease; Lacaziosis
H01519	Scabies
H01520	Chromomycosis; Chromoblastomycosis
H01521	Pneumocystis pneumonia; Pneumocystis carinii pneumonia
H01522	Zollinger-Ellison syndrome
H01523	Wiskott-Aldrich syndrome
H01524	DiGeorge syndrome
H01525	22q11.2 deletion syndrome; CATCH22
H01526	Legg-Calve-Perthes Disease
H01527	Chronic inflammatory demyelinating polyradiculoneuropathy
H01528	Neuroleptic malignant syndrome
H01529	Avascular necrosis of femoral head; Osteonecrosis of the femoral head
H01530	Pinta; Mal del pinto; Carate
H01531	Bejel; Endemic syphilis
H01532	Gout
H01533	Japanese encephalitis
H01534	Western equine encephalitis
H01535	Eastern equine encephalitis
H01536	Murray Valley encephalitis; Australian encephalitis
H01537	La Crosse encephalitis; California encephalitis
H01538	Hendra virus infection
H01539	Nipah virus infection
H01540	Chikungunya fever
H01541	Argentine hemorrhagic fever
H01542	Bolivian hemorrhagic fever
H01543	Venezuelan hemorrhagic fever
H01544	Brazilian hemorrhagic fever
H01545	O'nyong-nyong fever
H01546	Mayaro fever
H01547	Venezuelan equine encephalitis
H01548	West Nile fever; West Nile virus infection
H01549	Rift Valley fever
H01550	Bunyamwera fever
H01551	Interstitial cystitis; Bladder pain syndrome
H01552	Down syndrome; Trisomy 21
H01553	Zika fever; Zika virus disease
H01554	Fallopian tube cancer
H01555	Merkel cell carcinoma
H01556	Meningioma
H01557	Hepatic angiosarcoma
H01558	Parathyroid carcinoma
H01559	Oropharyngeal cancer
H01560	Alkhumra hemorrhagic fever
H01561	Chiari malformation; Arnold-Chiari syndrome
H01562	Patau syndrome; Trisomy 13
H01563	HIV infection
H01564	Edwards syndrome; Trisomy 18
H01565	Wernicke encephalopathy; Wernicke-Korsakoff syndrome
H01566	Beriberi
H01567	Thiamine pyrophosphokinase deficiency; Thiamine metabolism dysfunction syndrome 5
H01568	3C syndrome; Ritscher-Schinzel syndrome; Craniocerebellocardiac dysplasia
H01569	CHOPS syndrome
H01570	Autosomal dominant striatal degeneration
H01571	Singleton-Merten syndrome
H01572	Cole-Carpenter syndrome
H01573	Zimmermann-Laband syndrome
H01574	Familial idiopathic basal ganglia calcification; Bilateral striopallidodentate calcinosis (BSPDC); Fahr disease
H01575	Roifman syndrome; Spondyloepiphseal dysplasia, retinal dystrophy, and antibody deficiency
H01576	Spondyloenchondrodysplasia with immune dysregulation (SPENCDI); Spondyloenchondrodysplasia (SPENCD)
H01577	Essential tremor
H01578	Subacute myelo-optico-neuropathy (SMON)
H01579	Congenital symmetric circumferential skin creases; Kunze-Riehm syndrome; Michelin tire baby syndrome
H01580	Vitamin C deficiency; Scurvy
H01581	IgA nephropathy; Berger disease
H01582	Pellagra
H01583	Hydroxykynureninuria; Xanthurenic aciduria; Kynureninase deficiency
H01584	IgA vasculitis; Henoch-Schonlein purpura
H01585	Autoimmune hemolytic anemia
H01586	Acquired pure red cell aplasia
H01587	Disseminated intravascular coagulation
H01588	Cluster headache
H01589	Systemic primary carnitine deficiency
H01590	Chronic eosinophilic leukemia
H01591	Gastrotintestinal stromal tumor
H01592	Medullary thyroid cancer
H01593	Osteoporosis
H01594	Myasthenia gravis
H01595	Cutaneous lupus erythematosus
H01596	Lambert-Eaton myasthenic syndrome
H01597	Restless legs syndrome; Willis Ekbom disease
H01598	Addison disease; Primary adrenal insufficiency; Hypoadrenocorticism
H01599	Hypereosinophilic syndrome
H01600	Parkinsonian syndrome
H01601	Anaplastic large-cell lymphoma
H01602	Gastroesophageal reflux disease
H01603	Primary aldosteronism
H01604	Polymyositis and dermatomyositis
H01605	Myelofibrosis
H01606	Polymyalgia rheumatica
H01607	Galactorrhea
H01608	Cervical dystonia; Spasmodic torticollis
H01609	Insomnia
H01610	Clonorchiasis
H01611	Alcohol dependence
H01612	Essential thrombocythemia; Essential thrombocytosis; Thrombocythemia
H01613	Follicular lymphoma
H01614	Multiple system atrophy
H01615	Irritable bowel syndrome
H01616	Spinocerebellar degeneration
H01617	Foodborne trematodiasis; Foodborne trematode infection
H01618	Pituitary gigantism
H01619	Primary pulmonary hypertension
H01620	Raynaud syndrome
H01621	Pulmonary arterial hypertension
H01622	Chronic thromboembolic pulmonary hypertension
H01623	MDPL syndrome; Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome
H01624	Postherpetic neuralgia
H01625	Buerger disease; Thromboangiitis obliterans
H01626	Arteriosclerosis obliterans
H01628	Opisthorchiasis
H01629	Chronic arterial occlusive disease
H01630	Patent ductus arteriosus
H01631	Acute heart failure
H01632	Angina pectoris
H01633	High blood pressure; Hypertension
H01634	Peptic ulcer
H01635	Hyperlipidemia
H01636	Fibromyalgia; Fibromyalgia syndrome
H01637	Hypertriglyceridemia
H01638	Neuropathic pain; Neuralgia
H01639	Endometriosis
H01640	Uterine leiomyoma; Fibroid
H01641	Dry eye disease; Keratoconjunctivitis sicca
H01642	Renal anemia
H01643	Chilblains; Pernio
H01644	Blepharitis
H01645	Hyperthyroidism; Thyrotoxicosis
H01646	Major depressive disorder
H01647	Subacute thyroiditis; Subacute granulomatous thyroiditis; De Quervain thyroiditis
H01648	Pemphigus
H01649	Schizophrenia
H01650	Pemphigoid
H01651	Macular edema
H01652	Seborrheic dermatitis
H01653	Bipolar disorder; Manic depressive illness
H01654	Lichen planus
H01655	Granulomatosis with polyangiitis; Wegener granulomatosis
H01656	Psoriasis
H01657	Nephrotic syndrome
H01658	Microscopic polyangiitis
H01659	Pityriasis rubra pilaris
H01660	Pityriasis rosea
H01661	Xanthoma; Xanthomatosis
H01662	Generalized anxiety disorder; Anxiety neurosis
H01663	Pustular psoriasis
H01664	Panic disorder
H01665	Primary peritoneal carcinoma
H01666	Angiosarcoma
H01667	Medulloblastoma
H01668	Neoplastic meningitis
H01669	Secondary hyperparathyroidism
H01670	Social anxiety disorder; Social phobia
H01671	Neurosis; Neurotic disorder
H01672	Juvenile idiopathic arthritis
H01673	Palmoplantar keratoderma
H01674	Ankylosing spondylitis; Bechterew disease
H01675	Syringomyelia
H01676	Normal pressure hydrocephalus
H01677	Congenital hydrocephalus
H01678	Dandy-Walker syndrome
H01679	Intrahepatic lithiasis; Intrahepatic calculosis; Hepatolithiasis
H01680	Chronic pancreatitis
H01681	Acute pancreatitis
H01682	Syndrome of inappropriate antidiuretic hormone secretion
H01683	Disorders of antidiuretic hormone (ADH) secretion
H01684	Primary sclerosing cholangitis
H01685	Autoimmune hepatitis
H01686	Idiopathic portal hypertension; Non-cirrhotic portal fibrosis; Banti syndrome
H01687	Extrahepatic portal vein obstruction; Extrahepatic portal venous obstruction
H01688	Rapidly progressive glomerulonephritis
H01689	Fisher syndrome; Miller Fisher syndrome
H01690	Lichen sclerosus et atrophicus
H01691	Renal angiomyolipoma
H01692	Subependymal giant cell astrocytoma
H01693	Eosinophilic fasciitis; Diffuse fasciitis
H01694	Stevens-Johnson syndrome; Toxic epidermal necrolysis; Lyell syndrome
H01695	Erythema multiforme
H01696	Subacute sclerosing panencephalitis
H01697	Antiphospholipid syndrome
H01698	Giant cell arteritis; Temporal arteritis
H01699	Isolated TSH deficiency
H01700	Hypopituitarism
H01701	Pituitary TSH hypersecretion; Syndrome of inappropriate secretion of TSH (SITSH)
H01702	Glucocorticoid resistance syndrome
H01703	Eating Disorders
H01704	Sudden sensorineural hearing loss
H01705	Bilateral sudden sensorineural hearing loss
H01706	Delayed endolymphatic hydrops
H01707	Ossified ligamentum flavum; Ossification of the yellow ligament
H01708	Diffuse idiopathic skeletal hyperostosis; Forestier disease; Ankylosing hyperostosis; Ossification of the anterior longitudinal ligament
H01709	Glucocorticoid-induced osteonecrosis
H01710	Mixed connective tissue disease
H01711	Spinal stenosis
H01712	Fulminant hepatic failure; Fulminant hepatitis
H01713	Diffuse panbronchiolitis
H01714	Chronic obstructive pulmonary disease (COPD); Emphysema
H01715	Obesity hypoventilation syndrome; Pickwickian Syndrome
H01716	Idiopathic interstitial pneumonias
H01717	Optic neuritis
H01718	Kawasaki disease; Mucocutaneous lymph node syndrome
H01719	Optic neuropathy
H01720	Southeast Asian ovalocytosis
H01721	Anti-glomerular basement membrane (GBM) disease; Goodpasture syndrome
H01722	Galloway-Mowat syndrome
H01723	Deep vein thrombosis
H01724	HTLV1-associated myelopathy; Tropical spastic paraparesis
H01725	Primary immunodeficiency disease
H01726	Membranoproliferative glomerulonephritis
H01727	Primary alveolar hypoventilation syndrome
H01728	Potter syndrome; Potter sequence
H01729	Premature ventricular complexes; Premature ventricular contractions
H01730	Myocardial infarction
H01731	Fragile X tremor/ataxia syndrome
H01732	Angelman syndrome
H01733	Werner syndrome
H01734	Rothmund-Thomson syndrome
H01735	Lymphangiomatosis
H01736	Persistent truncus arteriosus
H01737	Epidermolysis bullosa
H01738	Noonan syndrome
H01739	Polycystic ovary syndrome
H01740	Macrothrombocytopenia
H01741	Autoinflammation lipodystrophy and dermatosis syndrome; Proteasome associated autoinflammatory syndromes (PRAAS); Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature (CANDLE) syndrome; Joint contractures, muscle atrophy, microcytic anemia, and panniculitis-induced lipodystrophy (JMP); Japanese autoinflammatory syndrome with lipodystrophy (JASL)
H01742	Coronary artery disease
H01743	Autoinflammation and PLCG2-associated antibody deficiency and immune dysregulation
H01744	Polyglucosan body myopathy
H01745	Cardiofaciocutaneous syndrome
H01746	STING-associated vasculopathy with onset in infancy
H01747	Costello syndrome
H01748	NLRC4 inflammasomopathy
H01749	Achondroplasia
H01750	Thanatophoric dysplasia
H01751	Weaver syndrome
H01752	ATR-X syndrome; X-linked alpha-thalassemia/mental retardation syndrome
H01753	Antley-Bixler syndrome
H01754	Crouzon syndrome
H01755	Apert syndrome
H01756	Pfeiffer syndrome
H01757	Cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy; CARASIL
H01758	Relapsing polychondritis
H01759	Autoimmune acquired factor XIII (F13) deficiency; Autoimmune hemorrhaphilia XIII/13
H01760	Hepatic glycogen storage disease
H01761	Immunoglobulin G4-related disease; Immunoglobulin G4-positive multi-organ lymphoproliferative syndrome
H01762	Muscle glycogen storage disease
H01763	Porphyria
H01764	Polysplenia syndrome
H01765	Eosinophilic sinusitis; Eosinophilic chronic rhinosinusitis
H01766	Juvenile retinoschisis
H01767	Henoch-Schonlein purpura nephritis
H01768	Central areolar choroidal dystrophy
H01769	ZTTK syndrome
H01770	Macular dystrophy
H01771	Congenital ichthyosis
H01772	Adrenal hypoplasia, congenital; X-linked addison disease
H01773	4p deletion syndrome; Wolf-Hirschhorn syndrome
H01774	Hyperostosis corticalis generalisata
H01775	PCDH19-related epilepsy syndrome; Early infantile epileptic encephalopathy 9; Epilepsy with mental retardation limited to females
H01776	Aicardi syndrome
H01777	Schwartz-Jampel syndrome
H01778	Ullrich disease; Ullrich congenital muscular dystrophy
H01779	Neuroferritinopathy
H01780	Non-dystrophic myotonia
H01781	Autophagic vacuolar myopathy
H01782	Eosinophilic gastrointestinal disorder
H01783	Ebstein anomaly
H01784	Primary hyperchylomicronemia
H01785	Tricuspid atresia
H01786	Congenitally corrected transposition of the great arteries
H01787	Univentricular heart
H01788	Klippel-Trenaunay-Weber syndrome
H01789	You-Hoover-Fong syndrome
H01790	Emanuel syndrome; Supernumerary derivative 22 syndrome
H01791	Smith-Magenis syndrome
H01792	1p36 deletion syndrome
H01793	Young-Simpson syndrome; Say-Barber-Biesecker-Young-Simpson syndrome; Say-Barber-Biesecker variant of Ohdo syndrome
H01794	Genitopatellar syndrome
H01795	Blepharophimosis-mental retardation syndrome; Ohdo syndrome
H01796	Uncombable hair syndrome; Spun glass hair syndrome; Pili trianguli et canaliculi
H01797	Webb-Dattani syndrome; Hypothalamic insufficiency-secondary microcephaly-visual impairment-urinary anomalies syndrome
H01798	Autosomal dominant neovascular inflammatory vitreoretinopathy
H01799	Vibratory urticaria; Vibratory angioedema
H01800	Verheij syndrome; Chromosome 8q24.3 deletion syndrome
H01801	Kagami-Ogata syndrome; Paternal uniparental disomy 14
H01802	Pulmonary atresia with intact ventricular septum
H01803	Pulmonary atresia with ventricular septal defect
H01804	Isaacs syndrome
H01805	Tricho-hepato-enteric syndrome; Syndromic diarrhea
H01806	Tenorio syndrome
H01807	Hereditary diffuse leukoencephalopathy with spheroids
H01808	Hemiconvulsion-hemiplegia-epilepsy syndrome
H01809	Sturge-Weber syndrome
H01810	Congenital myopathy
H01811	Arima syndrome
H01812	Rasmussen encephalitis; Rasmussen syndrome
H01813	Lennox-Gastaut syndrome
H01814	Stromme syndrome; Apple peel syndrome with microcephaly and ocular anomalies; Jejunal atresia with microcephaly and ocular anomalies
H01815	Malignant migrating partial seizures in infancy
H01816	Frank-ter Haar syndrome
H01817	Beukes hip dysplasia; Beukes type hip dysplasia
H01818	Dravet syndrome
H01819	Early myoclonic encephalopathy
H01820	Carney complex
H01821	Spondylometaphyseal dysplasia with cone-rod dystrophy
H01822	Epilepsy with myoclonic absence
H01823	Myoclonic-astatic epilepsy; Doose syndrome
H01824	CODAS syndrome; Cerebral, ocular, dental, auricular, and skeletal anomalies syndrome
H01825	Spondylometaphyseal dysplasia, Sedaghatian type
H01826	Mesial temporal lobe epilepsy with hippocampal sclerosis
H01827	Rolandic epilepsy, mental retardation, and speech dyspraxia
H01828	Opsismodysplasia
H01829	Acute encephalitis with refractory repetitive partial seizures
H01830	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melki type
H01831	Ring chromosome 20 syndrome
H01832	Lenz-Majewski syndrome; Lenz-Majewski hyperostotic dwarfism
H01833	Hemimegalencephaly
H01834	Marshall-Smith syndrome
H01835	Neuronal migration disorder
H01836	Congenital pain insensitivity with anhidrosis
H01837	Congenital suprabulbar paresis; Worster Drought syndrome
H01838	Mandibulofacial dysostosis with microcephaly; Mandibulofacial dysostosis, Guion-Almeida type
H01839	Burn-McKeown syndrome
H01840	Moebius syndrome; Mobius syndrome
H01841	Acute encephalopathy with biphasic seizures and late reduced diffusion
H01842	Bickerstaff brainstem encephalitis
H01843	Cerebrocostomandibular syndrome
H01844	Diaphanospondylodysostosis
H01845	Catel-Manzke syndrome; Palatodigital syndrome; Hyperphalangy syndrome
H01846	Superficial siderosis
H01847	Thrombocytopenia-absent radius syndrome; TAR syndrome
H01848	Acquired idiopathic generalized anhidrosis
H01849	Peripheral arteriovenous malformation
H01850	Hartsfield syndrome; Holoprosencephaly, ectrodactyly, and cleft/lip palate
H01851	Congenital scoliosis associated with rib anomalies
H01852	Postaxial polydactyly
H01853	Chronic nonspecific multiple ulcers of the small intestine
H01854	Metacarpal 4-5 fusion
H01855	Biliary atresia
H01856	Cloacal exstrophy; Vesicointestinal fissure
H01857	Filippi syndrome; Syndactyly type 1 with microcephaly and intellectual disability
H01858	Persistent cloaca
H01859	Occipital horn syndrome
H01860	Abnormal pituitary gonadotropin secretion
H01861	Chromosome 15q24 microdeletion syndrome; Witteveen-Kolk syndrome
H01862	Hypoparathyroidism
H01863	Atopic myelitis; Eosinophilic myelitis
H01864	Excessive secretion of growth hormone
H01865	Multicentric carpotarsal osteolysis syndrome
H01866	Pulmonary veno-occlusive disease and pulmonary capillary hemangiomatosis
H01867	Congenital anomalies of kidney and urinary tract
H01868	Mitral valve prolapse
H01869	Megacystis microcolon intestinal hypoperistalsis syndrome
H01870	Microhydranencephaly
H01871	Isolated hypoganglionosis
H01872	Microcephaly-capillary malformation syndrome
H01873	Obliterative bronchiolitis; Bronchiolitis obliterans
H01874	Cronkhite-Canada syndrome
H01875	Infantile hepatic hemangioma
H01876	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation; Microcephaly, lymphedema, chorioretinal dysplasia (MLCRD) syndrome; Chorioretinal dysplasia, microcephaly, and mental retardation (CDMMR) syndrome
H01877	Chromosome 15q13.3 microdeletion syndrome
H01878	Al-Raqad syndrome
H01879	Wiedemann-Steiner syndrome; Alazami-Yuan syndrome
H01880	Autosomal recessive microcephaly and chorioretinopathy
H01881	Complex cortical dysplasia with other brain malformations
H01882	Asperger syndrome
H01883	Nestor-Guillermo progeria syndrome
H01884	Auriculocondylar syndrome; Question mark ears syndrome
H01885	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome; MPPH syndrome
H01886	Van den Ende-Gupta syndrome
H01887	3MC syndrome; Malpuech-Michels-Mingarelli-Carnevale syndrome
H01888	Carpenter syndrome
H01889	Meier-Gorlin syndrome; Ear-patella-short statute syndrome
H01890	Pattern dystrophies of the retinal pigment epithelium; Patterned macular dystrophy; Butterfly-shaped macular dystrophy
H01891	Autosomal recessive spinocerebellar ataxias
H01892	Peripheral T cell lymphoma
H01893	Lateral meningocele syndrome; Lehman syndrome
H01894	Multiple mitochondrial dysfunctions syndrome
H01895	Attention deficit hyperactivity disorder (ADHD)
H01896	Aplasia cutis congenita
H01897	Oocyte maturation defect
H01898	PNPLA6-related disorders
H01899	Dyslexia
